trt,block,nrate_kgha,krate_kgha,trtname,wplot,splot,yield_kgha,dap
1,1,0,0,0+0,101,101-1,5488,120
1,1,0,0,0+0,101,101-1,5898,130
1,1,0,0,0+0,101,101-1,6133,140
1,1,0,0,0+0,101,101-1,6151,150
2,1,0,30,0+30,102,102-1,4448,120
2,1,0,30,0+30,102,102-1,4842,130
2,1,0,30,0+30,102,102-1,5057,140
2,1,0,30,0+30,102,102-1,5094,150
3,1,0,60,0+60,103,103-1,7445,120
3,1,0,60,0+60,103,103-1,7901,130
3,1,0,60,0+60,103,103-1,8119,140
3,1,0,60,0+60,103,103-1,8121,150
4,1,100,0,100+0,101,101-2,4268,120
4,1,100,0,100+0,101,101-2,4656,130
4,1,100,0,100+0,101,101-2,4833,140
4,1,100,0,100+0,101,101-2,4920,150
5,1,100,30,100+30,102,102-2,4830,120
5,1,100,30,100+30,102,102-2,5228,130
5,1,100,30,100+30,102,102-2,5437,140
5,1,100,30,100+30,102,102-2,5499,150
6,1,100,60,100+60,103,103-2,4808,120
6,1,100,60,100+60,103,103-2,5210,130
6,1,100,60,100+60,103,103-2,5389,140
6,1,100,60,100+60,103,103-2,5453,150
7,1,200,0,200+0,101,101-3,5140,120
7,1,200,0,200+0,101,101-3,5547,130
7,1,200,0,200+0,101,101-3,5736,140
7,1,200,0,200+0,101,101-3,5808,150
8,1,200,30,200+30,102,102-3,5400,120
8,1,200,30,200+30,102,102-3,5808,130
8,1,200,30,200+30,102,102-3,5993,140
8,1,200,30,200+30,102,102-3,6062,150
9,1,200,60,200+60,103,103-3,5155,120
9,1,200,60,200+60,103,103-3,5555,130
9,1,200,60,200+60,103,103-3,5750,140
9,1,200,60,200+60,103,103-3,5821,150
5,2,100,30,100+30,201,201-1,5552,120
5,2,100,30,100+30,201,201-1,5970,130
5,2,100,30,100+30,201,201-1,6156,140
5,2,100,30,100+30,201,201-1,6181,150
6,2,100,60,100+60,202,202-1,4275,120
6,2,100,60,100+60,202,202-1,4683,130
6,2,100,60,100+60,202,202-1,4852,140
6,2,100,60,100+60,202,202-1,4913,150
4,2,100,0,100+0,203,203-1,2895,120
